ticket_id,rsltn_type,rsltn_status,rsltn_date,rsltn_byuser,rsltn_servicedate,rsltn_servicennumber,rsltn_eta,rsltn_etd,rsltn_inspection,rsltn_actiontaken,rsltn_actionmethod,current_nex,rsltn_planning,rsltn_remark
tkno,,,reztm,engid,,,eta,etd,,notes,,nex,,
1004-73(L),,,2010-04-30 17:39:31,NIK,,,2010-04-22 09:30:00,2010-04-22 17:00:00,,"Received CM report from Rosdi.
Action taken:
1. Swapped RTE8000.
2. Loan unit S/N:5RL13942.
3. Original unit S/N: 5RL13937.
4. Test QA success.
5. Monitor production.",,Next Action Plan :,,
1004-76(L),,,2010-04-30 17:36:52,NIK,,,,,,"Received CM report from Azlan.
Action taken:
1. Adjust CCD leg only 2 screw not 3 screw.
2. Place piece of passport paper at top pf PI unit.
3. Run test. Feed test, production.
Book manage to print success.",,Next Action Plan :,,
1004-62(L),,,2010-04-30 17:34:38,NIK,,,2010-04-17 10:00:00,2010-04-17 14:00:00,,"Received CM report from Arham.
Action taken:
1. Clean thermal head, platen roller, all rollers (cleaning) and fans.
2. Change film with new.
3. Test print.
4. Monitor productions.
Problem resolved. Production continue as usual.",,Next Action Plan :,,
1004-82(L),,,2010-04-30 17:32:14,NIK,,,2010-04-22 14:30:00,2010-04-23 11:00:00,,"Received CM report from Zul. Dislcation and skew.
Action taken:
1. Clean at platen roller area.
2. take out SP1 and clean the area.
3. Adjust timing belt from 595 Hz to 480 Hz.
4. Monitor production.
5. Adjust slide bar.
Printing success. Production continue.",,Next Action Plan :,,
1004-63(L),,,2010-04-30 17:26:41,NIK,,,2010-04-18 10:00:00,2010-04-18 12:45:00,,"Received CM report from Arham
Action taken:
1. Try to ghost original HDD but fail due to blue screen.
2. Change old HDD with new.
3. Ghost - success.
4. Set all settings.
5. Cannot do production (offline).
Imbasan PC runs normally as before. Problem solved.",,Continue monitor on 19/04/10.,Continue monitor on 19/04/10.,
1004-105(L),,,2010-04-30 17:21:23,NIK,,,2010-04-29 08:45:00,2010-04-29 12:30:00,,"Received CM report from Arham.
Action taken:
1. Cannot repair the PC because it was under other vendor responsible. 
2. Temporary solutaion:
 - Attach jarfalla at PC QA.
 - PC QA will b used for QA process and Cetakan Muka surat pemerhatian.
 - Ser settings in txdvr22.tmt.
 - Keyboard and barcode scanner was replaced with PC QA keyboard.
Jarfalla process can be done. Problem solved temporarily.",,Already inform BTMR about the problem and told them to escalate it to responsible vendor.,Already inform BTMR about the problem and told them to escalate it to responsible vendor.,
1004-94(L),,,2010-04-30 17:15:05,NIK,,,2010-04-28 08:20:00,2010-04-28 15:50:00,,"Received CM report from isyraf.
Action taken:
1. Check the timing belt 2 and 3 at film unit.
2. Change new platen roller. 08GA45.
3. Configure back the timing belt tension from 560 to 410 Hz for both belt 2 and 3.
Printer in good condition. No more dislocation problem happen.",,Next Action Plan :,,
1004-69(L),,,2010-04-30 17:10:32,NIK,,,2010-04-19 16:30:00,2010-04-19 17:30:00,,"Received CM report from Isyraf. Problem: Film peel off. BOOK FEED ERROR 3 and BOOK JAM ERROR.
Action taken:
1. Check the sensor voltage (still) in range.
2. Done cleaning procedure.
3. Done test print.
4. Got permenant white line at MRZ position but it doesn't effect the production.
5. Monitoring the production. Printer in good condition. Production can continue as usual.",,Next Action Plan :,,
1004-101(L),,,2010-04-30 17:06:24,NIK,,,2010-04-28 08:00:00,2010-04-28 09:15:00,,"Received CM report from Hafiz. Continue CM for yesterday 27/04/10.
Action taken:
1. Change parameter settings since new thermal head replaced. (ID100, 101, 102.106).
Test print done. Production continue as usual, even better than yesterday.",,Next Action Plan :,,
1004-101(L),,,2010-04-30 17:01:38,NIK,,,2010-04-27 16:00:00,2010-04-27 17:30:00,,"Received CM report from Hafiz.
Action taken:
1. General cleaning (All Rollers).
2. Thermal head cleaning.
3. Line still exists. 
Thermal head. Old S/N: 7x-057-01. New: 95-005-01.
Printing quality restored to normal. Printing continues as usual.",,Next Action Plan :,,
1004-99(L),,,2010-04-30 16:56:36,NIK,,,2010-04-28 09:00:00,2010-04-28 12:45:00,,"Received CM report from Maria.
Action taken:
1. Replace a new hard disk (western digital, 80 GB. S/N : WMAM9ZF82791) that had been cloned with PC imbasab 03 WPIN.
Old HDD (Western digital, 80GB S/N: WMAJ96305758).
Imbasan process can be proceed as usual.",,Next Action Plan :,,
1004-104(L),,,2010-04-30 16:53:27,NIK,,,2010-04-28 12:00:00,2010-04-28 13:30:00,,"Received CM report from Nizam. 
Action taken:
1. Check all connection.
2. Bypass HDD unable to loab BIOS.
3. Call IBM to confirm the issue.
4. Take back the unit.",,Will sent loan unit.,Will sent loan unit.,
